,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
62,Megan Thee Stallion,Tina Snow,Big Ole Freak,3YEbLhXRDPTtctnb3ddg8g,0.799,0.699,2,-7.694,1,0.204,0,0.132,0.627,142.979,214851,4
63,Megan Thee Stallion,Suga,Captain Hook,1E3VQQWFQAPJkXfYHjqWoI,0.863,0.633,10,-5.002,0,0.287,0,0.285,0.545,163.991,176750,4
64,Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,0.872,0.814,0,-4.568,1,0.155,1.96e-06,0.214,0.57,98.985,199427,4
65,Nicki Minaj,Beam Me Up Scotty,Beam Me Up Scotty,0f381U8m0oFfGKeIhEJk9J,0.691,0.622,4,-8.544,0,0.168,0.00103,0.256,0.604,96.122,238733,4
66,Nicki Minaj,Beam Me Up Scotty,"Shopaholic (feat. Gucci Mane, Bobby V, & F1Jo)",1KVvVwHnGz3TPTVxQ86JDm,0.814,0.71,1,-3.383,1,0.296,0,0.337,0.627,133.069,332434,4
67,Nicki Minaj,Pink Friday (Complete Edition),Moment 4 Life,2sUlQXHLnZLY1n6i12MzoJ,0.68,0.881,11,-3.883,1,0.237,0,0.242,0.386,97.941,279307,4
68,Sada Baby,Whole Lotta Choppas (Remix) [feat. Nicki Minaj],Whole Lotta Choppas (Remix) [feat. Nicki Minaj],1IlJZCRthVEPlksVzj3JWY,0.956,0.72,10,-2.73,0,0.173,0,0.117,0.282,127.943,173500,4
69,Megan Thee Stallion,Flamin’ Hottie,Flamin’ Hottie,3ZJmjmUTRCBA3UjNbFU5Ui,0.939,0.798,7,-3.885,1,0.2,0,0.105,0.948,127.136,108494,4
70,Nicki Minaj,Yikes,Yikes,75dLEqanQTupF3dtP9exT5,0.911,0.637,8,-8.381,1,0.447,3.68e-05,0.238,0.66,149.996,156882,4
71,Nicki Minaj,Beam Me Up Scotty,Itty Bitty Piggy,1uYxHHZBRliM9cNzCxq93g,0.761,0.722,7,-4.343,1,0.391,0,0.0649,0.798,92.45,246753,4
72,Nicki Minaj,Do We Have A Problem?,Do We Have A Problem?,1PNs0uGru3TcrA94kpyGnc,0.842,0.505,1,-8.627,0,0.402,0.000322,0.117,0.538,119.993,207065,4
73,Nicki Minaj,Bussin,Bussin,7lcI4X8RZxK4zIknJcwpBq,0.893,0.699,11,-8.059,1,0.0517,3.02e-06,0.128,0.747,139.972,136761,4
74,Doja Cat,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,0.762,0.701,8,-3.541,1,0.0286,0.000158,0.123,0.742,110.968,208867,4
